origin,destination,hour,origin_category,dest_category,multiplier,priority_weight,expected_trips,trips
McCormick Student Village,Paul Galvin Library,19,Residence,Library,0.6,1.0,4.8,2
McCormick Student Village,Paul Galvin Library,20,Residence,Library,0.6,1.0,4.8,5
McCormick Student Village,Paul Galvin Library,21,Residence,Library,0.6,1.0,4.8,3
McCormick Student Village,Paul Galvin Library,22,Residence,Library,0.6,1.0,4.8,4
McCormick Student Village,Perlstein Hall,7,Residence,Academic,1.0,1.0,8.0,8
McCormick Student Village,Perlstein Hall,8,Residence,Academic,1.0,1.0,8.0,7
McCormick Student Village,Perlstein Hall,9,Residence,Academic,1.0,1.0,8.0,6
McCormick Student Village,Perlstein Hall,10,Residence,Academic,0.3,1.0,2.4,3
McCormick Student Village,Perlstein Hall,11,Residence,Academic,0.3,1.0,2.4,1
McCormick Student Village,Perlstein Hall,12,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,13,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,14,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Perlstein Hall,15,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,16,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,17,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Perlstein Hall,18,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Perlstein Hall,19,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Perlstein Hall,20,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,21,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Perlstein Hall,22,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Pritzker Science Center,7,Residence,Academic,1.0,1.0,8.0,11
McCormick Student Village,Pritzker Science Center,8,Residence,Academic,1.0,1.0,8.0,4
McCormick Student Village,Pritzker Science Center,9,Residence,Academic,1.0,1.0,8.0,10
McCormick Student Village,Pritzker Science Center,10,Residence,Academic,0.3,1.0,2.4,2
McCormick Student Village,Pritzker Science Center,11,Residence,Academic,0.3,1.0,2.4,3
McCormick Student Village,Pritzker Science Center,12,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Pritzker Science Center,13,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Pritzker Science Center,14,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Pritzker Science Center,15,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Pritzker Science Center,16,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Pritzker Science Center,17,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Pritzker Science Center,18,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,Pritzker Science Center,19,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Pritzker Science Center,20,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Pritzker Science Center,21,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,Pritzker Science Center,22,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,Rowe Village Middle,7,Residence,Residence,0.2,0.75,1.2,2
McCormick Student Village,Rowe Village Middle,8,Residence,Residence,0.5,0.75,3.0,2
McCormick Student Village,Rowe Village Middle,9,Residence,Residence,0.5,0.75,3.0,5
McCormick Student Village,Rowe Village Middle,10,Residence,Residence,0.5,0.75,3.0,4
McCormick Student Village,Rowe Village Middle,11,Residence,Residence,0.5,0.75,3.0,3
McCormick Student Village,Rowe Village Middle,12,Residence,Residence,0.5,0.75,3.0,4
McCormick Student Village,Rowe Village Middle,13,Residence,Residence,0.5,0.75,3.0,4
McCormick Student Village,Rowe Village Middle,14,Residence,Residence,0.5,0.75,3.0,3
McCormick Student Village,Rowe Village Middle,15,Residence,Residence,0.5,0.75,3.0,1
McCormick Student Village,Rowe Village Middle,16,Residence,Residence,0.5,0.75,3.0,3
McCormick Student Village,Rowe Village Middle,17,Residence,Residence,0.5,0.75,3.0,2
McCormick Student Village,Rowe Village Middle,18,Residence,Residence,0.5,0.75,3.0,2
McCormick Student Village,Rowe Village Middle,19,Residence,Residence,0.2,0.75,1.2,3
McCormick Student Village,Rowe Village Middle,20,Residence,Residence,0.2,0.75,1.2,0
McCormick Student Village,Rowe Village Middle,21,Residence,Residence,0.2,0.75,1.2,0
McCormick Student Village,Rowe Village Middle,22,Residence,Residence,0.2,0.75,1.2,3
McCormick Student Village,S.R. Crown Hall,7,Residence,Academic,1.0,1.0,8.0,9
McCormick Student Village,S.R. Crown Hall,8,Residence,Academic,1.0,1.0,8.0,9
McCormick Student Village,S.R. Crown Hall,9,Residence,Academic,1.0,1.0,8.0,11
McCormick Student Village,S.R. Crown Hall,10,Residence,Academic,0.3,1.0,2.4,2
McCormick Student Village,S.R. Crown Hall,11,Residence,Academic,0.3,1.0,2.4,3
McCormick Student Village,S.R. Crown Hall,12,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,S.R. Crown Hall,13,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,S.R. Crown Hall,14,Residence,Academic,0.1,1.0,0.8,3
McCormick Student Village,S.R. Crown Hall,15,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,S.R. Crown Hall,16,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,S.R. Crown Hall,17,Residence,Academic,0.1,1.0,0.8,3
McCormick Student Village,S.R. Crown Hall,18,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,S.R. Crown Hall,19,Residence,Academic,0.1,1.0,0.8,1
McCormick Student Village,S.R. Crown Hall,20,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,S.R. Crown Hall,21,Residence,Academic,0.1,1.0,0.8,2
McCormick Student Village,S.R. Crown Hall,22,Residence,Academic,0.1,1.0,0.8,0
McCormick Student Village,The Commons,7,Residence,Dining,0.5,1.0,4.0,4
McCormick Student Village,The Commons,8,Residence,Dining,0.5,1.0,4.0,5
McCormick Student Village,The Commons,9,Residence,Dining,0.5,1.0,4.0,2
McCormick Student Village,The Commons,10,Residence,Dining,0.2,1.0,1.6,2
McCormick Student Village,The Commons,11,Residence,Dining,1.0,1.0,8.0,11
McCormick Student Village,The Commons,12,Residence,Dining,1.0,1.0,8.0,3
McCormick Student Village,The Commons,13,Residence,Dining,1.0,1.0,8.0,10
McCormick Student Village,The Commons,14,Residence,Dining,0.2,1.0,1.6,2
McCormick Student Village,The Commons,15,Residence,Dining,0.2,1.0,1.6,1
McCormick Student Village,The Commons,16,Residence,Dining,0.2,1.0,1.6,2
McCormick Student Village,The Commons,17,Residence,Dining,1.0,1.0,8.0,10
McCormick Student Village,The Commons,18,Residence,Dining,1.0,1.0,8.0,8
McCormick Student Village,The Commons,19,Residence,Dining,1.0,1.0,8.0,9
McCormick Student Village,The Commons,20,Residence,Dining,0.2,1.0,1.6,1
McCormick Student Village,The Commons,21,Residence,Dining,0.2,1.0,1.6,1
McCormick Student Village,The Commons,22,Residence,Dining,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Alpha Sigma Phi,7,Student Center,Greek Housing,0.2,0.25,0.4,0
McCormick Tribune Campus Center,Alpha Sigma Phi,8,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,9,Student Center,Greek Housing,0.5,0.25,1.0,1
McCormick Tribune Campus Center,Alpha Sigma Phi,10,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,11,Student Center,Greek Housing,0.5,0.25,1.0,4
McCormick Tribune Campus Center,Alpha Sigma Phi,12,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,13,Student Center,Greek Housing,0.5,0.25,1.0,3
McCormick Tribune Campus Center,Alpha Sigma Phi,14,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,15,Student Center,Greek Housing,0.5,0.25,1.0,3
McCormick Tribune Campus Center,Alpha Sigma Phi,16,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,17,Student Center,Greek Housing,0.5,0.25,1.0,0
McCormick Tribune Campus Center,Alpha Sigma Phi,18,Student Center,Greek Housing,0.5,0.25,1.0,1
McCormick Tribune Campus Center,Alpha Sigma Phi,19,Student Center,Greek Housing,0.2,0.25,0.4,0
McCormick Tribune Campus Center,Alpha Sigma Phi,20,Student Center,Greek Housing,0.2,0.25,0.4,1
McCormick Tribune Campus Center,Alpha Sigma Phi,21,Student Center,Greek Housing,0.2,0.25,0.4,1
McCormick Tribune Campus Center,Alpha Sigma Phi,22,Student Center,Greek Housing,0.2,0.25,0.4,1
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,7,Student Center,Recreation,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,8,Student Center,Recreation,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,9,Student Center,Recreation,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,10,Student Center,Recreation,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,11,Student Center,Recreation,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,12,Student Center,Recreation,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,13,Student Center,Recreation,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,14,Student Center,Recreation,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,15,Student Center,Recreation,0.7,0.75,4.2,3
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,16,Student Center,Recreation,0.7,0.75,4.2,1
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,17,Student Center,Recreation,0.7,0.75,4.2,3
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,18,Student Center,Recreation,0.7,0.75,4.2,4
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,19,Student Center,Recreation,0.7,0.75,4.2,4
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,20,Student Center,Recreation,0.7,0.75,4.2,3
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,21,Student Center,Recreation,0.7,0.75,4.2,2
McCormick Tribune Campus Center,Arthur S. Keating Sports Center,22,Student Center,Recreation,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Chemistry Research Building,7,Student Center,Academic,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Chemistry Research Building,8,Student Center,Academic,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Chemistry Research Building,9,Student Center,Academic,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Chemistry Research Building,10,Student Center,Academic,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Chemistry Research Building,11,Student Center,Academic,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Chemistry Research Building,12,Student Center,Academic,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Chemistry Research Building,13,Student Center,Academic,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Chemistry Research Building,14,Student Center,Academic,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Chemistry Research Building,15,Student Center,Academic,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Chemistry Research Building,16,Student Center,Academic,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Chemistry Research Building,17,Student Center,Academic,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Chemistry Research Building,18,Student Center,Academic,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Chemistry Research Building,19,Student Center,Academic,0.2,0.75,1.2,3
McCormick Tribune Campus Center,Chemistry Research Building,20,Student Center,Academic,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Chemistry Research Building,21,Student Center,Academic,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Chemistry Research Building,22,Student Center,Academic,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Cunningham Hall,7,Student Center,Residence,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Cunningham Hall,8,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Cunningham Hall,9,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Cunningham Hall,10,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Cunningham Hall,11,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Cunningham Hall,12,Student Center,Residence,0.5,0.75,3.0,1
McCormick Tribune Campus Center,Cunningham Hall,13,Student Center,Residence,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Cunningham Hall,14,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Cunningham Hall,15,Student Center,Residence,0.5,0.75,3.0,1
McCormick Tribune Campus Center,Cunningham Hall,16,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Cunningham Hall,17,Student Center,Residence,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Cunningham Hall,18,Student Center,Residence,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Cunningham Hall,19,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Cunningham Hall,20,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Cunningham Hall,21,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Cunningham Hall,22,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Farr Hall,7,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Farr Hall,8,Student Center,Residence,0.5,0.75,3.0,6
McCormick Tribune Campus Center,Farr Hall,9,Student Center,Residence,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Farr Hall,10,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Farr Hall,11,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Farr Hall,12,Student Center,Residence,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Farr Hall,13,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Farr Hall,14,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Farr Hall,15,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Farr Hall,16,Student Center,Residence,0.5,0.75,3.0,1
McCormick Tribune Campus Center,Farr Hall,17,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Farr Hall,18,Student Center,Residence,0.5,0.75,3.0,3
McCormick Tribune Campus Center,Farr Hall,19,Student Center,Residence,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Farr Hall,20,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Farr Hall,21,Student Center,Residence,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Farr Hall,22,Student Center,Residence,0.2,0.75,1.2,2
McCormick Tribune Campus Center,Grover M. Herman Hall,7,Student Center,Admin,0.2,0.5,0.8,2
McCormick Tribune Campus Center,Grover M. Herman Hall,8,Student Center,Admin,0.5,0.5,2.0,2
McCormick Tribune Campus Center,Grover M. Herman Hall,9,Student Center,Admin,0.5,0.5,2.0,2
McCormick Tribune Campus Center,Grover M. Herman Hall,10,Student Center,Admin,0.5,0.5,2.0,0
McCormick Tribune Campus Center,Grover M. Herman Hall,11,Student Center,Admin,0.5,0.5,2.0,4
McCormick Tribune Campus Center,Grover M. Herman Hall,12,Student Center,Admin,0.5,0.5,2.0,1
McCormick Tribune Campus Center,Grover M. Herman Hall,13,Student Center,Admin,0.5,0.5,2.0,1
McCormick Tribune Campus Center,Grover M. Herman Hall,14,Student Center,Admin,0.5,0.5,2.0,5
McCormick Tribune Campus Center,Grover M. Herman Hall,15,Student Center,Admin,0.5,0.5,2.0,0
McCormick Tribune Campus Center,Grover M. Herman Hall,16,Student Center,Admin,0.5,0.5,2.0,2
McCormick Tribune Campus Center,Grover M. Herman Hall,17,Student Center,Admin,0.5,0.5,2.0,1
McCormick Tribune Campus Center,Grover M. Herman Hall,18,Student Center,Admin,0.5,0.5,2.0,3
McCormick Tribune Campus Center,Grover M. Herman Hall,19,Student Center,Admin,0.2,0.5,0.8,0
McCormick Tribune Campus Center,Grover M. Herman Hall,20,Student Center,Admin,0.2,0.5,0.8,1
McCormick Tribune Campus Center,Grover M. Herman Hall,21,Student Center,Admin,0.2,0.5,0.8,0
McCormick Tribune Campus Center,Grover M. Herman Hall,22,Student Center,Admin,0.2,0.5,0.8,4
McCormick Tribune Campus Center,Kaplan Institute,7,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Kaplan Institute,8,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Kaplan Institute,9,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Kaplan Institute,10,Student Center,Academic,0.5,1.0,4.0,1
McCormick Tribune Campus Center,Kaplan Institute,11,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Kaplan Institute,12,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Kaplan Institute,13,Student Center,Academic,0.5,1.0,4.0,0
McCormick Tribune Campus Center,Kaplan Institute,14,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Kaplan Institute,15,Student Center,Academic,0.5,1.0,4.0,9
McCormick Tribune Campus Center,Kaplan Institute,16,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Kaplan Institute,17,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Kaplan Institute,18,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Kaplan Institute,19,Student Center,Academic,0.2,1.0,1.6,0
McCormick Tribune Campus Center,Kaplan Institute,20,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Kaplan Institute,21,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Kaplan Institute,22,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Main Building,7,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Main Building,8,Student Center,Academic,0.5,1.0,4.0,1
McCormick Tribune Campus Center,Main Building,9,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Main Building,10,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Main Building,11,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Main Building,12,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Main Building,13,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Main Building,14,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Main Building,15,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Main Building,16,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Main Building,17,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Main Building,18,Student Center,Academic,0.5,1.0,4.0,2
McCormick Tribune Campus Center,Main Building,19,Student Center,Academic,0.2,1.0,1.6,0
McCormick Tribune Campus Center,Main Building,20,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Main Building,21,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Main Building,22,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,McCormick Student Village,7,Student Center,Residence,0.2,1.0,1.6,1
McCormick Tribune Campus Center,McCormick Student Village,8,Student Center,Residence,0.5,1.0,4.0,4
McCormick Tribune Campus Center,McCormick Student Village,9,Student Center,Residence,0.5,1.0,4.0,2
McCormick Tribune Campus Center,McCormick Student Village,10,Student Center,Residence,0.5,1.0,4.0,2
McCormick Tribune Campus Center,McCormick Student Village,11,Student Center,Residence,0.5,1.0,4.0,5
McCormick Tribune Campus Center,McCormick Student Village,12,Student Center,Residence,0.5,1.0,4.0,4
McCormick Tribune Campus Center,McCormick Student Village,13,Student Center,Residence,0.5,1.0,4.0,6
McCormick Tribune Campus Center,McCormick Student Village,14,Student Center,Residence,0.5,1.0,4.0,3
McCormick Tribune Campus Center,McCormick Student Village,15,Student Center,Residence,0.5,1.0,4.0,1
McCormick Tribune Campus Center,McCormick Student Village,16,Student Center,Residence,0.5,1.0,4.0,3
McCormick Tribune Campus Center,McCormick Student Village,17,Student Center,Residence,0.5,1.0,4.0,7
McCormick Tribune Campus Center,McCormick Student Village,18,Student Center,Residence,0.5,1.0,4.0,5
McCormick Tribune Campus Center,McCormick Student Village,19,Student Center,Residence,0.2,1.0,1.6,2
McCormick Tribune Campus Center,McCormick Student Village,20,Student Center,Residence,0.2,1.0,1.6,1
McCormick Tribune Campus Center,McCormick Student Village,21,Student Center,Residence,0.2,1.0,1.6,2
McCormick Tribune Campus Center,McCormick Student Village,22,Student Center,Residence,0.2,1.0,1.6,3
McCormick Tribune Campus Center,Paul Galvin Library,7,Student Center,Library,0.1,1.0,0.8,0
McCormick Tribune Campus Center,Paul Galvin Library,8,Student Center,Library,0.1,1.0,0.8,2
McCormick Tribune Campus Center,Paul Galvin Library,9,Student Center,Library,0.1,1.0,0.8,1
McCormick Tribune Campus Center,Paul Galvin Library,10,Student Center,Library,0.6,1.0,4.8,3
McCormick Tribune Campus Center,Paul Galvin Library,11,Student Center,Library,0.6,1.0,4.8,3
McCormick Tribune Campus Center,Paul Galvin Library,12,Student Center,Library,0.6,1.0,4.8,6
McCormick Tribune Campus Center,Paul Galvin Library,13,Student Center,Library,0.6,1.0,4.8,6
McCormick Tribune Campus Center,Paul Galvin Library,14,Student Center,Library,0.6,1.0,4.8,4
McCormick Tribune Campus Center,Paul Galvin Library,15,Student Center,Library,0.6,1.0,4.8,4
McCormick Tribune Campus Center,Paul Galvin Library,16,Student Center,Library,0.6,1.0,4.8,8
McCormick Tribune Campus Center,Paul Galvin Library,17,Student Center,Library,0.6,1.0,4.8,5
McCormick Tribune Campus Center,Paul Galvin Library,18,Student Center,Library,0.6,1.0,4.8,7
McCormick Tribune Campus Center,Paul Galvin Library,19,Student Center,Library,0.6,1.0,4.8,6
McCormick Tribune Campus Center,Paul Galvin Library,20,Student Center,Library,0.6,1.0,4.8,7
McCormick Tribune Campus Center,Paul Galvin Library,21,Student Center,Library,0.6,1.0,4.8,8
McCormick Tribune Campus Center,Paul Galvin Library,22,Student Center,Library,0.6,1.0,4.8,3
McCormick Tribune Campus Center,Perlstein Hall,7,Student Center,Academic,0.2,1.0,1.6,0
McCormick Tribune Campus Center,Perlstein Hall,8,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Perlstein Hall,9,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Perlstein Hall,10,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Perlstein Hall,11,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Perlstein Hall,12,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Perlstein Hall,13,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Perlstein Hall,14,Student Center,Academic,0.5,1.0,4.0,2
McCormick Tribune Campus Center,Perlstein Hall,15,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Perlstein Hall,16,Student Center,Academic,0.5,1.0,4.0,1
McCormick Tribune Campus Center,Perlstein Hall,17,Student Center,Academic,0.5,1.0,4.0,6
McCormick Tribune Campus Center,Perlstein Hall,18,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Perlstein Hall,19,Student Center,Academic,0.2,1.0,1.6,0
McCormick Tribune Campus Center,Perlstein Hall,20,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Perlstein Hall,21,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Perlstein Hall,22,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Pritzker Science Center,7,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Pritzker Science Center,8,Student Center,Academic,0.5,1.0,4.0,6
McCormick Tribune Campus Center,Pritzker Science Center,9,Student Center,Academic,0.5,1.0,4.0,2
McCormick Tribune Campus Center,Pritzker Science Center,10,Student Center,Academic,0.5,1.0,4.0,6
McCormick Tribune Campus Center,Pritzker Science Center,11,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Pritzker Science Center,12,Student Center,Academic,0.5,1.0,4.0,6
McCormick Tribune Campus Center,Pritzker Science Center,13,Student Center,Academic,0.5,1.0,4.0,3
McCormick Tribune Campus Center,Pritzker Science Center,14,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Pritzker Science Center,15,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Pritzker Science Center,16,Student Center,Academic,0.5,1.0,4.0,5
McCormick Tribune Campus Center,Pritzker Science Center,17,Student Center,Academic,0.5,1.0,4.0,6
McCormick Tribune Campus Center,Pritzker Science Center,18,Student Center,Academic,0.5,1.0,4.0,4
McCormick Tribune Campus Center,Pritzker Science Center,19,Student Center,Academic,0.2,1.0,1.6,2
McCormick Tribune Campus Center,Pritzker Science Center,20,Student Center,Academic,0.2,1.0,1.6,4
McCormick Tribune Campus Center,Pritzker Science Center,21,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Pritzker Science Center,22,Student Center,Academic,0.2,1.0,1.6,1
McCormick Tribune Campus Center,Rowe Village Middle,7,Student Center,Residence,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Rowe Village Middle,8,Student Center,Residence,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Rowe Village Middle,9,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Rowe Village Middle,10,Student Center,Residence,0.5,0.75,3.0,6
McCormick Tribune Campus Center,Rowe Village Middle,11,Student Center,Residence,0.5,0.75,3.0,1
McCormick Tribune Campus Center,Rowe Village Middle,12,Student Center,Residence,0.5,0.75,3.0,5
McCormick Tribune Campus Center,Rowe Village Middle,13,Student Center,Residence,0.5,0.75,3.0,0
McCormick Tribune Campus Center,Rowe Village Middle,14,Student Center,Residence,0.5,0.75,3.0,1
McCormick Tribune Campus Center,Rowe Village Middle,15,Student Center,Residence,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Rowe Village Middle,16,Student Center,Residence,0.5,0.75,3.0,4
McCormick Tribune Campus Center,Rowe Village Middle,17,Student Center,Residence,0.5,0.75,3.0,2
McCormick Tribune Campus Center,Rowe Village Middle,18,Student Center,Residence,0.5,0.75,3.0,6
McCormick Tribune Campus Center,Rowe Village Middle,19,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Rowe Village Middle,20,Student Center,Residence,0.2,0.75,1.2,1
McCormick Tribune Campus Center,Rowe Village Middle,21,Student Center,Residence,0.2,0.75,1.2,0
McCormick Tribune Campus Center,Rowe Village Middle,22,Student Center,Residence,0.2,0.75,1.2,2
McCormick Tribune Campus Center,S.R. Crown Hall,7,Student Center,Academic,0.2,1.0,1.6,0
McCormick Tribune Campus Center,S.R. Crown Hall,8,Student Center,Academic,0.5,1.0,4.0,1
McCormick Tribune Campus Center,S.R. Crown Hall,9,Student Center,Academic,0.5,1.0,4.0,2
McCormick Tribune Campus Center,S.R. Crown Hall,10,Student Center,Academic,0.5,1.0,4.0,5
